dist_id,year,state_name,dist_num,div_name,reg_name,population,households,income_mean,income_median
20103605,2010,New York,5,Middle Atlantic,Northeast,652316,227979,94578,63726
20103606,2010,New York,6,Middle Atlantic,Northeast,651056,203079,69641,57247
20103607,2010,New York,7,Middle Atlantic,Northeast,658309,238812,59289,47110
20103608,2010,New York,8,Middle Atlantic,Northeast,680695,305767,123869,64921
20103609,2010,New York,9,Middle Atlantic,Northeast,650324,249694,74388,57930
20103610,2010,New York,10,Middle Atlantic,Northeast,671527,239427,57339,41298
20103611,2010,New York,11,Middle Atlantic,Northeast,635908,243123,68351,46276
20103612,2010,New York,12,Middle Atlantic,Northeast,673256,242174,61059,42136
20103613,2010,New York,13,Middle Atlantic,Northeast,674242,244924,80868,63222
20103614,2010,New York,14,Middle Atlantic,Northeast,637631,321915,136348,78093
20103615,2010,New York,15,Middle Atlantic,Northeast,659614,249105,65674,37613
20103616,2010,New York,16,Middle Atlantic,Northeast,673627,223311,34093,23797
20103617,2010,New York,17,Middle Atlantic,Northeast,672924,235878,75837,55241
20103618,2010,New York,18,Middle Atlantic,Northeast,669537,242537,139419,86560
20103619,2010,New York,19,Middle Atlantic,Northeast,696098,240126,105892,82367
20103620,2010,New York,20,Middle Atlantic,Northeast,680064,268726,73270,58046
20103621,2010,New York,21,Middle Atlantic,Northeast,676812,272103,67672,52583
20103622,2010,New York,22,Middle Atlantic,Northeast,677957,260592,65327,50609
20103623,2010,New York,23,Middle Atlantic,Northeast,662780,252651,56518,45130
20103624,2010,New York,24,Middle Atlantic,Northeast,656298,257130,58676,46834
20103625,2010,New York,25,Middle Atlantic,Northeast,665206,262866,67538,52785
20103626,2010,New York,26,Middle Atlantic,Northeast,669731,257294,68963,55515
20103627,2010,New York,27,Middle Atlantic,Northeast,632812,261414,58607,45221
20103628,2010,New York,28,Middle Atlantic,Northeast,616258,255757,50565,37829
20103629,2010,New York,29,Middle Atlantic,Northeast,660628,260057,67139,51315
20103701,2010,North Carolina,1,South Atlantic,South,631529,245362,44080,32876
20103702,2010,North Carolina,2,South Atlantic,South,716190,260824,53787,43203
20103703,2010,North Carolina,3,South Atlantic,South,712491,276624,59944,46325
20103704,2010,North Carolina,4,South Atlantic,South,787014,306799,87088,65478
20103705,2010,North Carolina,5,South Atlantic,South,683885,276092,59093,43896
20103706,2010,North Carolina,6,South Atlantic,South,699308,278020,64733,49659
20103707,2010,North Carolina,7,South Atlantic,South,719299,285389,56169,41033
20103708,2010,North Carolina,8,South Atlantic,South,691368,259291,55780,42819
20103709,2010,North Carolina,9,South Atlantic,South,819888,317483,87948,62942
20103710,2010,North Carolina,10,South Atlantic,South,679767,262242,55548,41955
20103711,2010,North Carolina,11,South Atlantic,South,692598,294885,54893,41164
20103712,2010,North Carolina,12,South Atlantic,South,705121,273872,52590,39776
20103713,2010,North Carolina,13,South Atlantic,South,732720,289296,62216,46173
20103800,2010,North Dakota,0,West North Central,Midwest,659858,276642,60581,46781
20103901,2010,Ohio,1,East North Central,Midwest,595205,239525,57870,42472
20103902,2010,Ohio,2,East North Central,Midwest,670670,261938,77983,57370
20103903,2010,Ohio,3,East North Central,Midwest,642315,257911,62988,47666
20103904,2010,Ohio,4,East North Central,Midwest,634600,244893,56345,45799
20103905,2010,Ohio,5,East North Central,Midwest,630962,244447,58673,48109
20103906,2010,Ohio,6,East North Central,Midwest,624551,247621,51890,39527
20103907,2010,Ohio,7,East North Central,Midwest,676955,256917,61847,49920
20103908,2010,Ohio,8,East North Central,Midwest,659944,251803,62808,50417
20103909,2010,Ohio,9,East North Central,Midwest,622019,249565,59298,44664
20103910,2010,Ohio,10,East North Central,Midwest,600256,252109,59988,46246
20103911,2010,Ohio,11,East North Central,Midwest,555538,234037,52600,35280
20103912,2010,Ohio,12,East North Central,Midwest,732103,287195,78004,57431
20103913,2010,Ohio,13,East North Central,Midwest,643665,257968,66064,50919
20103914,2010,Ohio,14,East North Central,Midwest,645668,252563,77377,58719
20103915,2010,Ohio,15,East North Central,Midwest,673708,265524,65919,50725
20103916,2010,Ohio,16,East North Central,Midwest,644278,251536,62245,48419
20103917,2010,Ohio,17,East North Central,Midwest,608336,246427,52122,41231
20103918,2010,Ohio,18,East North Central,Midwest,651658,250291,50835,40524
20104001,2010,Oklahoma,1,West South Central,South,735690,294842,65034,47185
